idVenta,fecha,idCliente,idProducto,cantidad,precioUnitario,region
1001,2024-03-18,C030,P003,1,99.0,África
1002,2024-01-27,C047,P004,7,149.99,África
1003,2024-03-06,C030,P015,10,169.99,Asia
1004,2024-03-10,C043,P005,3,299.0,América
1005,2024-02-24,C040,P001,6,15.99,África
1006,2024-01-13,C024,P018,6,39.99,América
1007,2024-01-06,C037,P014,7,14.99,Asia
1008,2024-03-09,C026,P002,4,25.5,América
1009,2024-01-27,C001,P003,2,99.0,Asia
1010,2024-01-18,C039,P014,3,14.99,Oceanía
1011,2024-01-21,C023,P018,9,39.99,América
1012,2024-02-15,C033,P010,5,19.99,Oceanía
1013,2024-02-09,C038,P001,6,15.99,Asia
1014,2024-01-10,C044,P016,6,35.99,América
1015,2024-03-24,C019,P002,10,25.5,Oceanía
1016,2024-03-19,C019,P014,2,14.99,Asia
1017,2024-03-22,C031,P013,9,12.5,África
1018,2024-03-30,C021,P011,8,179.99,Europa
1019,2024-02-07,C022,P008,9,9.99,Europa
1020,2024-01-15,C015,P014,6,14.99,Europa
1021,2024-03-15,C038,P001,1,15.99,Oceanía
1022,2024-01-15,C033,P008,3,9.99,América
1023,2024-03-16,C027,P005,1,299.0,Asia
1024,2024-01-13,C049,P007,7,59.99,Europa
1025,2024-03-31,C026,P010,1,19.99,Oceanía
1026,2024-02-23,C002,P014,4,14.99,Asia
1027,2024-02-29,C025,P010,9,19.99,Asia
1028,2024-02-29,C044,P015,3,169.99,América
1029,2024-02-22,C038,P001,10,15.99,Asia
1030,2024-01-18,C012,P020,10,59.99,Oceanía
1031,2024-01-19,C050,P004,6,149.99,América
1032,2024-03-04,C028,P003,10,99.0,Asia
1033,2024-03-23,C042,P015,4,169.99,África
1034,2024-01-20,C020,P010,7,19.99,África
1035,2024-03-03,C015,P017,6,249.99,América
1036,2024-03-30,C041,P005,6,299.0,Oceanía
1037,2024-01-04,C049,P020,10,59.99,América
1038,2024-02-21,C005,P019,2,399.99,América
1039,2024-01-07,C014,P017,8,249.99,Oceanía
1040,2024-03-19,C029,P019,5,399.99,América
1041,2024-03-19,C002,P001,3,15.99,América
1042,2024-01-21,C037,P006,4,799.0,África
1043,2024-03-27,C023,P017,3,249.99,Europa
1044,2024-01-22,C046,P008,6,9.99,África
1045,2024-03-13,C046,P020,5,59.99,Oceanía
1046,2024-02-23,C007,P018,5,39.99,Europa
1047,2024-01-01,C007,P013,6,12.5,América
1048,2024-03-28,C010,P014,2,14.99,Asia
1049,2024-02-26,C017,P004,1,149.99,Asia
1050,2024-03-14,C016,P005,6,299.0,Asia
1051,2024-03-04,C008,P019,8,399.99,Oceanía
1052,2024-01-17,C013,P014,2,14.99,Oceanía
1053,2024-03-13,C010,P020,4,59.99,Oceanía
1054,2024-01-02,C032,P020,3,59.99,Oceanía
1055,2024-03-11,C031,P004,7,149.99,Asia
1056,2024-02-22,C018,P002,10,25.5,América
1057,2024-02-17,C004,P002,8,25.5,Oceanía
1058,2024-02-28,C018,P007,4,59.99,América
1059,2024-01-26,C045,P001,6,15.99,Asia
1060,2024-02-21,C033,P017,4,249.99,América
1061,2024-01-03,C040,P004,7,149.99,Europa
1062,2024-02-24,C005,P009,5,119.99,América
1063,2024-01-16,C025,P013,9,12.5,África
1064,2024-01-24,C036,P018,2,39.99,América
1065,2024-02-03,C016,P006,8,799.0,Asia
1066,2024-01-10,C022,P007,8,59.99,América
1067,2024-03-27,C038,P012,4,299.99,América
1068,2024-03-07,C022,P012,4,299.99,Europa
1069,2024-01-21,C007,P005,3,299.0,América
1070,2024-02-20,C007,P005,10,299.0,Europa
1071,2024-01-17,C025,P008,8,9.99,Europa
1072,2024-01-15,C035,P004,2,149.99,Oceanía
